Title,Year,Rated,Released,Runtime,Metascore,imdbRating,Type,BoxOffice
Mission Istaanbul: Darr Ke Aagey Jeet Hai!,2008,N/A,25 Jul 2008,130 min,N/A,3.5,movie,N/A
Once Upon a Time in Mumbaai,2010,Not Rated,30 Jul 2010,3 min,N/A,7.4,movie,N/A
Ragini MMS,2011,Not Rated,13 May 2011,1 min,N/A,5.1,movie,N/A
Ragini MMS 2,2014,Not Rated,21 Mar 2014,3 min,N/A,3.9,movie,N/A
Rebellion,2016–2019,TV-MA,24 Apr 2016,258 min,N/A,7.1,series,na
Ride on Time,2012,N/A,30 Jun 2012,N/A,N/A,N/A,movie,N/A
Shootout at Lokhandwala,2007,Not Rated,25 May 2007,122 min,N/A,7.1,movie,"$289,232"
Shor in the City,2010,N/A,28 Apr 2011,2 min,N/A,7.2,movie,N/A
The Dirty Picture,2011,Not Rated,02 Dec 2011,1 min,N/A,6.6,movie,N/A
Titletown High,2021–,TV-14,27 Aug 2021,1 min,N/A,5.5,series,na
Edens Zero,2021–,TV-14,11 Apr 2021,1 min,N/A,7.2,series,na
Family Reunion,2019–2022,TV-PG,10 Jul 2019,1 min,N/A,6.4,series,na
"Bob Ross: Happy Accidents, Betrayal & Greed",2021,TV-14,25 Aug 2021,25S min,55,6.9,movie,N/A
Clickbait,2021,TV-MA,25 Aug 2021,N/A,N/A,7.2,series,na
John of God: The Crimes of a Spiritual Healer,2021,N/A,25 Aug 2021,N/A,N/A,6.5,series,na
Motel Makeover,2021–,N/A,25 Aug 2021,1 min,N/A,4.9,series,na
Open Your Eyes,1997,R,19 Dec 1997,1 min,N/A,7.7,movie,"$370,720"
Post Mortem: No One Dies in Skarnes,2021–,TV-MA,25 Aug 2021,N/A,N/A,7.1,series,na
Really Love,2020,N/A,25 Aug 2021,95 min,N/A,6.1,movie,N/A
The November Man,2014,R,27 Aug 2014,108 min,38,6.2,movie,"$25,018,119"
The Old Ways,2020,R,05 Aug 2021,90 min,67,5.4,movie,N/A
